406080,34229,6
1018854,33955,1
1018854,47046,2
1425273,22329,2
1425273,37972,1
1425273,39514,13
2563875,34968,2
2583047,47795,1
2871592,50371,2
2904295,50870,1
3370822,43466,25
3370822,43978,1
3420673,50356,1
3425115,30858,1
3510893,29539,1
3600213,46262,2
4337270,30792,1
4580937,18232,1
4580937,33844,6
4580937,46132,1
4829114,14440,1
5017524,34197,1
5113669,30567,1
5373887,29818,1
5515055,38277,1
5628229,26473,1
5792080,21332,1
5899417,34663,1
5960624,17235,1
6034330,43610,2
6188191,50356,1
6473237,50854,1
6680559,30854,1
7627469,46264,1
7754684,46264,1
7937116,46228,2
8269755,26457,1
8466030,22329,1
8883408,42661,1
8883408,46501,3
8986888,25926,3
8999919,17203,2
8999919,23386,13
8999919,30053,1
8999919,31081,2
9281605,22842,1
9563375,34711,1
9734570,50371,1
9763098,31128,1
10051054,25764,1
10051054,47291,1
10268380,14907,76
10268380,31322,7
10429694,43691,1
10551266,30085,1
10553356,43175,1
10608620,26502,1
10908965,14407,1
11026149,46779,1
11039795,43946,2
11572944,30053,6
11807949,26182,2
12171567,34711,7
12946403,35193,1
13000670,26212,4
13105593,22360,1
13538076,35225,1
13545127,27258,1
13646114,30551,1
13797426,22325,1
13896466,14408,1
13907832,22618,1
14323648,33940,2
14447153,23386,1
14545951,34934,4
15379289,50854,10
15503025,27018,1
15526476,13397,1
15648986,50341,2
15840140,30039,1
16184676,31321,1
16230008,51915,1
16627010,47048,1
16809113,43466,3
17144693,41925,1
17420534,22325,1
17682173,29830,1
17810104,30842,1
17863810,33683,1
17943661,30085,1
18449658,47754,1
18592306,31322,1
18592306,37972,2
18599627,35530,5
18687452,42953,1
19114625,18232,1
19273365,43178,3
19746763,29539,1
20093829,39514,1
20176968,18230,1
20466947,34469,2
20585511,14151,1
20758723,26535,1
21274655,51659,1
21316411,14907,1
21422543,38262,3
21610857,34469,1
21752758,22325,1
21881923,50371,1
21935225,35386,1
22142964,30567,1
22416496,31081,1
22824944,34197,1
22824944,35225,3
22968883,22358,1
22968883,31081,3
23099999,21300,5
23185201,42953,1
23198516,25702,11
23604032,14408,1
23907843,35225,7
24216015,34888,1
24300376,38004,1
24345302,14134,1
24907229,50292,1
25003893,39319,1
25382841,34197,1
25382841,35225,53
25424319,17972,3
25573436,17995,3
26019623,18568,2
26032295,14907,1
26055660,22617,1
26213215,18231,1
26503714,35225,1
26610101,51915,3
26911478,47674,3
27352092,31113,1
27829802,17731,1
27910936,47047,1
28108701,43691,2
28437992,42410,1
28500997,19114,1
28672271,34985,2
28672271,43946,1
28742547,14651,1
29097334,47291,1
29440588,46790,1
29498954,22362,1
29701447,47046,1
29920164,39514,2
29942358,34727,1
30230276,31081,1
30365185,41923,11
30619576,42680,1
30674582,13397,1
30842042,31627,1
31312481,42436,1
31381146,27016,1
31821886,18232,1
31821886,30278,3
32270649,42663,1
32282562,47048,1
32345134,31177,1
32537985,18232,4
32537985,21812,5
32553949,31063,1
32778672,47514,1
32807800,35193,1
32812205,42949,2
32812205,43466,1
33201208,43177,1
33774525,43466,1
33854809,34888,1
33902779,42949,1
34092468,31079,1
34117324,46771,7
34269519,27338,9
34269519,35530,1
34323556,30567,1
34452148,19002,1
34760994,22875,1
34917507,22375,1
35048999,18488,1
35199559,22842,1
35528143,43434,4
35611165,33957,1
35611165,46266,1
36068730,31595,1
36226264,35193,1
36351214,13363,3
36373411,35225,1
36472942,17235,1
36496070,30325,1
36669233,35739,1
36799292,34405,1
37020664,42953,1
37178999,34197,1
37178999,43466,4
37181038,23242,1
37303228,30278,8
37303228,34374,1
37303228,38470,1
37423856,26519,1
37575207,21844,1
37979652,30329,1
38189414,31349,1
38822735,41925,1
38944414,14907,3
38944414,21332,1
39304206,17508,1
39325366,26216,1
39471360,22389,1
39547886,39078,1
39571474,42679,1
40016786,42953,1
40150377,43466,1
40373304,42436,1
40411465,22389,2
40605313,30327,1
40752263,18086,4
41126714,46244,13
41332940,30599,1
41827381,19082,1
41847298,29539,1
41856735,50371,2
41941928,42663,13
41941928,46019,2
42085865,23386,2
42153753,18102,1
43365643,46019,1
43499268,22343,1
43974436,14151,1
44010839,39322,2
44408274,39066,1
